|6.6.6
bulk_TMMFequ_1.tab                                                                                  
           2
T(K)    
   300.00000000000000     
   36.842105263157897     
          20
P(bar)  
   1.0000000000000000     
   157.84210526315789     
          20
           6
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        vp/vs         
  410.5263       632.3684       3048.055       7.014971       3.891669       1.802561    
  447.3684       632.3684       3033.458       6.971292       3.859669       1.806189    
  484.2105       632.3684       3030.497       6.953424       3.849292       1.806417    
  521.0526       632.3684       3027.104       6.933917       3.838646       1.806344    
  557.8947       632.3684       3006.119       6.882096       3.799987       1.811084    
  594.7368       632.3684       3003.847       6.866482       3.792188       1.810691    
  631.5789       632.3684       3001.511       6.850872       3.784463       1.810263    
  668.4211       632.3684       2999.080       6.835234       3.776763       1.809813    
  705.2632       632.3684       2996.590       6.819570       3.769128       1.809323    
  742.1053       632.3684       2994.030       6.803873       3.761530       1.808805    
  778.9474       632.3684       2991.395       6.788129       3.753950       1.808263    
  815.7895       632.3684       2988.753       6.772652       3.745825       1.808054    
  852.6316       632.3684       2985.953       6.757494       3.736400       1.808558    
  889.4737       632.3684       2983.111       6.742257       3.726922       1.809068    
  926.3158       632.3684       2980.233       6.726936       3.717391       1.809585    
  963.1579       632.3684       2977.328       6.711529       3.707814       1.810104    
  1000.000       632.3684       2974.396       6.696034       3.698190       1.810625    
  300.0000       790.2105       3266.136       7.399649       4.186739       1.767401    
  336.8421       790.2105       3255.627       7.369621       4.164411       1.769667    
  373.6842       790.2105       3240.800       7.333493       4.138690       1.771936    
  410.5263       790.2105       3053.055       7.027376       3.901653       1.801128    
  447.3684       790.2105       3034.064       6.974035       3.861659       1.805968    
  484.2105       790.2105       3031.113       6.956214       3.851318       1.806191    
  521.0526       790.2105       3027.736       6.936781       3.840717       1.806116    
  557.8947       790.2105       3006.796       6.884839       3.801751       1.810965    
  594.7368       790.2105       3004.600       6.869193       3.794324       1.810386    
  631.5789       790.2105       3002.261       6.853586       3.786591       1.809962    
  668.4211       790.2105       2999.842       6.837959       3.778902       1.809510    
  705.2632       790.2105       2997.353       6.822305       3.771268       1.809022    
  742.1053       790.2105       2994.792       6.806607       3.763657       1.808509    
  778.9474       790.2105       2992.145       6.790862       3.756057       1.807976    
  815.7895       790.2105       2989.539       6.775412       3.747969       1.807756    
  852.6316       790.2105       2986.733       6.760261       3.738544       1.808260    
  889.4737       790.2105       2983.852       6.745009       3.729020       1.808789    
  926.3158       790.2105       2981.007       6.729715       3.719538       1.809288    
  963.1579       790.2105       2978.115       6.714321       3.709978       1.809801    
  1000.000       790.2105       2975.182       6.698830       3.700353       1.810322    
  300.0000       948.0526       3267.523       7.403348       4.189082       1.767296    
  336.8421       948.0526       3257.875       7.374677       4.167652       1.769504    
  373.6842       948.0526       3243.699       7.339637       4.142728       1.771692    
  410.5263       948.0526       3058.967       7.041788       3.913265       1.799466    
  447.3684       948.0526       3034.674       6.976801       3.863665       1.805747    
  484.2105       948.0526       3031.740       6.959048       3.853363       1.805967    
  521.0526       948.0526       3028.404       6.939777       3.842827       1.805904    
  557.8947       948.0526       3025.013       6.920846       3.832251       1.805948    
  594.7368       948.0526       3005.362       6.871900       3.796463       1.810079    
  631.5789       948.0526       3003.073       6.856318       3.788785       1.809635    
  668.4211       948.0526       3000.649       6.840692       3.781084       1.809188    
  705.2632       948.0526       2998.178       6.825049       3.773463       1.808697    
  742.1053       948.0526       2995.608       6.809351       3.765834       1.808192    
  778.9474       948.0526       2993.011       6.793636       3.758294       1.807638    
  815.7895       948.0526       2990.322       6.778167       3.750107       1.807460    
  852.6316       948.0526       2987.518       6.763023       3.740686       1.807963    
  889.4737       948.0526       2984.678       6.747804       3.731221       1.808470    
  926.3158       948.0526       2981.802       6.732500       3.721704       1.808983    
  963.1579       948.0526       2978.902       6.717109       3.712138       1.809499    
  1000.000       948.0526       2975.962       6.701626       3.702516       1.810020    
  300.0000       1105.895       3268.820       7.406894       4.191313       1.767201    
  336.8421       1105.895       3259.398       7.378666       4.170233       1.769365    
  373.6842       1105.895       3246.488       7.345580       4.146555       1.771490    
  410.5263       1105.895       3063.157       7.052366       3.921654       1.798314    
  447.3684       1105.895       3035.235       6.979280       3.865661       1.805456    
  484.2105       1105.895       3032.353       6.961828       3.855383       1.805742    
  521.0526       1105.895       3029.040       6.942660       3.844908       1.805677    
  557.8947       1105.895       3025.646       6.923706       3.834320       1.805719    
  594.7368       1105.895       3006.158       6.874622       3.798645       1.809756    
  631.5789       1105.895       3003.837       6.859035       3.790917       1.809334    
  668.4211       1105.895       3001.433       6.843420       3.783244       1.808876    
  705.2632       1105.895       2998.952       6.827778       3.775605       1.808393    
  742.1053       1105.895       2996.349       6.812077       3.767939       1.807905    
  778.9474       1105.895       2993.776       6.796375       3.760421       1.807344    
  815.7895       1105.895       2991.109       6.780920       3.752245       1.807163    
  852.6316       1105.895       2988.281       6.765776       3.742805       1.807675    
  889.4737       1105.895       2985.452       6.750569       3.733357       1.808177    
  926.3158       1105.895       2982.595       6.735280       3.723865       1.808680    
  963.1579       1105.895       2979.684       6.719894       3.714293       1.809198    
  1000.000       1105.895       2976.753       6.704417       3.704678       1.809717    
  300.0000       1263.737       3270.058       7.410402       4.193512       1.767111    
  336.8421       1263.737       3261.227       7.383082       4.173062       1.769224    
  373.6842       1263.737       3248.978       7.351036       4.150091       1.771295    
  410.5263       1263.737       3230.835       7.310631       4.122293       1.773438    
  447.3684       1263.737       3048.461       7.009691       3.890372       1.801805    
  484.2105       1263.737       3032.966       6.964608       3.857403       1.805517    
  521.0526       1263.737       3029.650       6.945411       3.846905       1.805454    
  557.8947       1263.737       3026.297       6.926645       3.836430       1.805492    
  594.7368       1263.737       3006.859       6.877347       3.800575       1.809554    
  631.5789       1263.737       3004.579       6.861739       3.793029       1.809039    
  668.4211       1263.737       3002.205       6.846142       3.785385       1.808572    
  705.2632       1263.737       2999.734       6.830511       3.777759       1.808086    
  742.1053       1263.737       2997.187       6.814830       3.770143       1.807579    
  778.9474       1263.737       2994.575       6.799118       3.762575       1.807038    
  815.7895       1263.737       2991.879       6.783664       3.754363       1.806875    
  852.6316       1263.737       2989.096       6.768547       3.744978       1.807366    
  889.4737       1263.737       2986.225       6.753326       3.735483       1.807886    
  926.3158       1263.737       2983.384       6.738053       3.726014       1.808381    
  963.1579       1263.737       2980.470       6.722675       3.716447       1.808898    
  1000.000       1263.737       2977.551       6.707213       3.706851       1.809410    
  300.0000       1421.579       3271.226       7.413723       4.195600       1.767023    
  336.8421       1421.579       3262.925       7.387300       4.175827       1.769063    
  373.6842       1421.579       3251.366       7.356402       4.153577       1.771100    
  410.5263       1421.579       3233.914       7.317136       4.126606       1.773161    
  447.3684       1421.579       3057.768       7.031658       3.907839       1.799372    
  484.2105       1421.579       3033.577       6.967370       3.859406       1.805296    
  521.0526       1421.579       3030.278       6.948248       3.848956       1.805229    
  557.8947       1421.579       3026.932       6.929507       3.838493       1.805268    
  594.7368       1421.579       3023.423       6.910340       3.827902       1.805255    
  631.5789       1421.579       3005.380       6.864459       3.795205       1.808719    
  668.4211       1421.579       3002.965       6.848858       3.787515       1.808272    
  705.2632       1421.579       3000.519       6.833234       3.779902       1.807781    
  742.1053       1421.579       2997.964       6.817568       3.772290       1.807276    
  778.9474       1421.579       2995.371       6.801862       3.764732       1.806732    
  815.7895       1421.579       2992.688       6.786419       3.756519       1.806571    
  852.6316       1421.579       2989.892       6.771301       3.747119       1.807069    
  889.4737       1421.579       2987.057       6.756111       3.737678       1.807569    
  926.3158       1421.579       2984.180       6.740830       3.728173       1.808078    
  963.1579       1421.579       2981.279       6.725462       3.718622       1.808590    
  1000.000       1421.579       2978.349       6.710006       3.709022       1.809104    
  300.0000       1579.421       3272.332       7.417014       4.197697       1.766925    
  336.8421       1579.421       3264.562       7.391394       4.178365       1.768968    
  373.6842       1579.421       3253.052       7.360678       4.156420       1.770918    
  410.5263       1579.421       3236.709       7.323204       4.130684       1.772879    
  447.3684       1579.421       3063.026       7.044519       3.918102       1.797942    
  484.2105       1579.421       3043.975       6.991486       3.878822       1.802477    
  521.0526       1579.421       3030.905       6.951078       3.850996       1.805008    
  557.8947       1579.421       3027.580       6.932408       3.840543       1.805059    
  594.7368       1579.421       3024.084       6.913305       3.830009       1.805036    
  631.5789       1579.421       3006.059       6.867126       3.797229       1.808457    
  668.4211       1579.421       3003.773       6.851582       3.789687       1.807955    
  705.2632       1579.421       3001.306       6.835961       3.782055       1.807473    
  742.1053       1579.421       2998.765       6.820295       3.774440       1.806968    
  778.9474       1579.421       2996.170       6.804606       3.766885       1.806428    
  815.7895       1579.421       2993.492       6.789174       3.758672       1.806269    
  852.6316       1579.421       2990.694       6.774063       3.749275       1.806766    
  889.4737       1579.421       2987.850       6.758872       3.739823       1.807271    
  926.3158       1579.421       2984.980       6.743604       3.730332       1.807776    
  963.1579       1579.421       2982.077       6.728241       3.720781       1.808287    
  1000.000       1579.421       2979.109       6.712779       3.711149       1.808814    
  300.0000       1737.263       3273.403       7.420195       4.199685       1.766846    
  336.8421       1737.263       3266.258       7.395601       4.181019       1.768852    
  373.6842       1737.263       3255.842       7.366570       4.160137       1.770752    
  410.5263       1737.263       3240.528       7.330734       4.135467       1.772649    
  447.3684       1737.263       3067.015       7.054373       3.925911       1.796876    
  484.2105       1737.263       3050.970       7.008134       3.892084       1.800612    
  521.0526       1737.263       3031.532       6.953910       3.853042       1.804784    
  557.8947       1737.263       3028.219       6.935276       3.842599       1.804840    
  594.7368       1737.263       3024.739       6.916248       3.832111       1.804814    
  631.5789       1737.263       3021.113       6.896866       3.821576       1.804718    
  668.4211       1737.263       3004.563       6.854298       3.791839       1.807645    
  705.2632       1737.263       3002.102       6.838682       3.784205       1.807165    
  742.1053       1737.263       2999.558       6.823030       3.776597       1.806661    
  778.9474       1737.263       2996.971       6.807341       3.769033       1.806124    
  815.7895       1737.263       2994.303       6.791925       3.760824       1.805967    
  852.6316       1737.263       2991.500       6.776822       3.751430       1.806464    
  889.4737       1737.263       2988.651       6.761635       3.741974       1.806970    
  926.3158       1737.263       2985.784       6.746377       3.732494       1.807472    
  963.1579       1737.263       2982.877       6.731023       3.722946       1.807983    
  1000.000       1737.263       2979.951       6.715583       3.713359       1.808493    
  300.0000       1895.105       3274.440       7.423361       4.201624       1.766784    
  336.8421       1895.105       3267.679       7.399383       4.183386       1.768754    
  373.6842       1895.105       3257.852       7.371282       4.163172       1.770593    
  410.5263       1895.105       3243.626       7.337206       4.139657       1.772419    
  447.3684       1895.105       3223.188       7.294306       4.110858       1.774400    
  484.2105       1895.105       3057.574       7.023818       3.904586       1.798864    
  521.0526       1895.105       3032.160       6.956743       3.855080       1.804565    
  557.8947       1895.105       3028.859       6.938161       3.844671       1.804618    
  594.7368       1895.105       3025.398       6.919207       3.834220       1.804593    
  631.5789       1895.105       3021.781       6.899853       3.823693       1.804500    
  668.4211       1895.105       3005.353       6.857009       3.793986       1.807337    
  705.2632       1895.105       3002.901       6.841404       3.786359       1.806856    
  742.1053       1895.105       3000.365       6.825755       3.778749       1.806353    
  778.9474       1895.105       2997.699       6.810051       3.771104       1.805851    
  815.7895       1895.105       2995.126       6.794674       3.762985       1.805661    
  852.6316       1895.105       2992.315       6.779577       3.753586       1.806160    
  889.4737       1895.105       2989.445       6.764391       3.744114       1.806673    
  926.3158       1895.105       2986.583       6.749142       3.734643       1.807172    
  963.1579       1895.105       2983.671       6.733796       3.725097       1.807683    
  1000.000       1895.105       2980.691       6.718340       3.715456       1.808214    
  300.0000       2052.947       3275.403       7.426386       4.203513       1.766710    
  336.8421       2052.947       3269.066       7.403100       4.185747       1.768645    
  373.6842       2052.947       3259.726       7.375851       4.166228       1.770391    
  410.5263       2052.947       3246.293       7.342990       4.143444       1.772195    
  447.3684       2052.947       3226.836       7.301764       4.115776       1.774092    
  484.2105       2052.947       3063.821       7.038704       3.916346       1.797263    
  521.0526       2052.947       3032.851       6.959920       3.857146       1.804422    
  557.8947       2052.947       3029.496       6.941025       3.846725       1.804399    
  594.7368       2052.947       3026.042       6.922102       3.836296       1.804371    
  631.5789       2052.947       3022.452       6.902842       3.825803       1.804286    
  668.4211       2052.947       3006.161       6.859726       3.796153       1.807020    
  705.2632       2052.947       3003.707       6.844125       3.788519       1.806544    
  742.1053       2052.947       3001.180       6.828489       3.780920       1.806039    
  778.9474       2052.947       2998.590       6.812812       3.773346       1.805509    
  815.7895       2052.947       2995.944       6.797422       3.765140       1.805357    
  852.6316       2052.947       2993.129       6.782332       3.755742       1.805857    
  889.4737       2052.947       2990.284       6.767168       3.746307       1.806357    
  926.3158       2052.947       2987.399       6.751915       3.736812       1.806865    
  963.1579       2052.947       2984.499       6.736577       3.727279       1.807371    
  1000.000       2052.947       2981.568       6.721154       3.717700       1.807880    
  300.0000       2210.789       3276.337       7.429383       4.205395       1.766631    
  336.8421       2210.789       3270.457       7.406836       4.188174       1.768512    
  373.6842       2210.789       3261.560       7.380312       4.168929       1.770313    
  410.5263       2210.789       3248.834       7.348622       4.147080       1.771999    
  447.3684       2210.789       3230.795       7.309587       4.120908       1.773781    
  484.2105       2210.789       3070.066       7.053546       3.928018       1.795701    
  521.0526       2210.789       3043.542       6.984262       3.876787       1.801559    
  557.8947       2210.789       3030.131       6.943884       3.848778       1.804179    
  594.7368       2210.789       3026.696       6.925025       3.838364       1.804161    
  631.5789       2210.789       3023.117       6.905822       3.827917       1.804068    
  668.4211       2210.789       3019.414       6.886336       3.817487       1.803893    
  705.2632       2210.789       3004.492       6.846835       3.790651       1.806243    
  742.1053       2210.789       3001.997       6.831213       3.783081       1.805727    
  778.9474       2210.789       2999.372       6.815528       3.775460       1.805218    
  815.7895       2210.789       2996.771       6.800169       3.767300       1.805051    
  852.6316       2210.789       2993.954       6.785088       3.757908       1.805549    
  889.4737       2210.789       2991.100       6.769925       3.748464       1.806053    
  926.3158       2210.789       2988.224       6.754684       3.738983       1.806556    
  963.1579       2210.789       2985.287       6.739343       3.729419       1.807076    
  1000.000       2210.789       2982.377       6.723937       3.719869       1.807574    
  300.0000       2368.632       3277.225       7.432337       4.207253       1.766553    
  336.8421       2368.632       3271.674       7.410298       4.190314       1.768435    
  373.6842       2368.632       3263.305       7.384636       4.171678       1.770184    
  410.5263       2368.632       3251.198       7.353949       4.150515       1.771816    
  447.3684       2368.632       3234.471       7.317011       4.125770       1.773490    
  484.2105       2368.632       3075.019       7.065328       3.937340       1.794442    
  521.0526       2368.632       3054.651       7.009274       3.896890       1.798684    
  557.8947       2368.632       3030.787       6.946824       3.850865       1.803964    
  594.7368       2368.632       3027.366       6.928031       3.840496       1.803942    
  631.5789       2368.632       3023.806       6.908909       3.830090       1.803851    
  668.4211       2368.632       3020.132       6.889539       3.819709       1.803682    
  705.2632       2368.632       3005.398       6.849579       3.792909       1.805891    
  742.1053       2368.632       3002.899       6.833962       3.785331       1.805381    
  778.9474       2368.632       3000.290       6.818297       3.777732       1.804865    
  815.7895       2368.632       2997.578       6.802906       3.769437       1.804754    
  852.6316       2368.632       2994.781       6.787839       3.760068       1.805243    
  889.4737       2368.632       2991.879       6.772662       3.750574       1.805767    
  926.3158       2368.632       2989.036       6.757448       3.741142       1.806253    
  963.1579       2368.632       2986.118       6.742126       3.731608       1.806762    
  1000.000       2368.632       2983.180       6.726711       3.722025       1.807272    
  300.0000       2526.474       3277.574       7.429075       4.209112       1.764998    
  336.8421       2526.474       3272.294       7.407522       4.192605       1.766807    
  373.6842       2526.474       3264.307       7.382369       4.174535       1.768429    
  410.5263       2526.474       3252.894       7.352640       4.153963       1.770030    
  447.3684       2526.474       3236.901       7.315467       4.130155       1.771233    
  484.2105       2526.474       3214.354       7.270266       4.100743       1.772914    
  521.0526       2526.474       3062.607       7.027597       3.911360       1.796714    
  557.8947       2526.474       3031.480       6.949986       3.852967       1.803801    
  594.7368       2526.474       3028.012       6.930925       3.842560       1.803726    
  631.5789       2526.474       3024.469       6.911875       3.832191       1.803635    
  668.4211       2526.474       3020.801       6.892521       3.821818       1.803467    
  705.2632       2526.474       3016.983       6.872712       3.811464       1.803169    
  742.1053       2526.474       3003.711       6.836678       3.787480       1.805073    
  778.9474       2526.474       3001.145       6.820997       3.779872       1.804558    
  815.7895       2526.474       2998.433       6.805659       3.771623       1.804438    
